,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
7904,32.0,4.7,Sandstorms,Jam,2,Buffet,electric_scooter,0.0,No,Urban,30,25597.545302838404
7905,30.0,4.7,Sunny,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,18,25597.545302838404
7906,23.0,4.5,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,15,25597.545302838404
7907,20.0,3.5,Sunny,Low,2,Drinks,scooter,0.0,No,Metropolitian,32,25597.545302838404
7908,21.0,4.8,Windy,Jam,0,Buffet,motorcycle,1.0,No,Urban,31,25597.545302838404
7909,36.0,4.6,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,29,25597.545302838404
7910,33.0,3.5,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Urban,43,25597.545302838404
7911,28.0,4.9,Cloudy,High,2,Buffet,scooter,1.0,No,Metropolitian,31,25597.14051642763
7912,32.0,5.0,Windy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,27,25597.14051642763
7913,32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,30,25597.14051642763
7914,23.0,4.7,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Metropolitian,24,25597.14051642763
7915,22.0,5.0,Sunny,Medium,1,Meal,scooter,0.0,No,Metropolitian,12,25597.14051642763
7916,32.0,4.5,Windy,Jam,1,Drinks,motorcycle,1.0,No,Urban,39,25597.14051642763
7917,24.0,4.9,Windy,Low,1,Meal,scooter,1.0,No,Urban,19,25597.14051642763
7918,20.0,4.3,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,25597.14051642763
7919,36.0,4.9,Sunny,Low,1,Buffet,motorcycle,,No,Metropolitian,19,25597.14051642763
7920,37.0,4.8,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,40,25597.14051642763
7921,36.0,4.4,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,25597.14051642763
7922,38.0,4.7,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Urban,41,25596.920652283326
7923,36.0,4.7,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,29,25596.920652283326
7924,38.0,4.6,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,24,25596.920652283326
7925,36.0,4.6,Fog,Medium,2,Drinks,motorcycle,0.0,No,Urban,19,25596.920652283326
7926,26.0,4.6,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,25596.920652283326
7927,39.0,4.7,Windy,Low,2,Meal,electric_scooter,1.0,No,Urban,21,25596.920652283326
7928,25.0,4.9,Stormy,High,2,Drinks,scooter,1.0,No,Metropolitian,29,25596.920652283326
7929,28.0,5.0,Sunny,Medium,2,Meal,scooter,,No,Metropolitian,15,25596.920652283326
7930,30.0,4.8,Sandstorms,Low,1,Meal,scooter,1.0,No,Metropolitian,23,25596.920652283326
7931,25.0,4.1,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,38,25596.889505693845
7932,39.0,4.8,Sunny,Low,1,Buffet,motorcycle,0.0,No,Urban,16,25596.889505693845
7933,24.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Urban,16,25596.889505693845
7934,29.0,4.7,Sandstorms,Medium,2,Snack,electric_scooter,0.0,No,Urban,25,25596.889505693845
7935,27.0,4.6,Sunny,Low,0,Meal,motorcycle,1.0,No,,14,25596.889505693845
7936,33.0,4.3,Windy,Medium,2,Meal,scooter,1.0,No,Metropolitian,33,25596.889505693845
7937,20.0,4.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,19,25596.889505693845
7938,31.0,4.0,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,33,25595.79752694598
7939,30.0,4.4,Fog,Low,1,Buffet,scooter,0.0,No,Metropolitian,37,25595.79752694598
7940,39.0,4.7,Cloudy,Medium,2,Snack,electric_scooter,1.0,No,Metropolitian,42,25595.79752694598
7941,37.0,4.6,Sunny,Medium,2,Meal,scooter,0.0,No,Metropolitian,15,25595.79752694598
7942,,,Sandstorms,Low,1,Snack,scooter,,No,Metropolitian,19,25595.79752694598
7943,20.0,4.6,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,26,25595.23074686703
7944,39.0,4.1,Stormy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,42,25595.23074686703
7945,36.0,4.6,Sunny,High,1,Meal,motorcycle,1.0,No,Metropolitian,21,25595.23074686703
7946,38.0,4.4,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,25595.23074686703
7947,36.0,4.6,Stormy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,29,25595.23074686703
7948,,,,,3,Drinks,bicycle,1.0,No,Urban,19,25595.23074686703
7949,27.0,5.0,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Metropolitian,25,25595.23074686703
7950,22.0,4.7,Sunny,Medium,2,Snack,motorcycle,0.0,No,Urban,12,25595.23074686703
7951,34.0,4.9,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Urban,17,25595.23074686703
7952,,,,,3,Drinks,electric_scooter,1.0,No,Metropolitian,34,25595.23074686703
7953,28.0,4.6,Sandstorms,Medium,2,Buffet,motorcycle,0.0,No,Metropolitian,27,25595.12015863172
7954,27.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,19,25595.12015863172
7955,30.0,5.0,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,25,25595.12015863172
7956,,,Cloudy,Jam,2,Snack,electric_scooter,0.0,No,Urban,41,25595.12015863172
7957,26.0,4.7,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,21,25595.12015863172
7958,25.0,4.8,Windy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,24,25595.12015863172
7959,29.0,4.6,Cloudy,High,2,Drinks,scooter,0.0,No,Metropolitian,26,25594.471689206257
7960,39.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,18,25594.471689206257
7961,28.0,3.5,Sunny,Low,2,Snack,motorcycle,0.0,No,Metropolitian,35,25594.471689206257
7962,27.0,4.9,Sandstorms,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,24,25594.471689206257
7963,28.0,4.7,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,24,25594.471689206257
7964,37.0,4.4,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,27,25594.471689206257
7965,39.0,4.9,Sunny,Low,2,Meal,motorcycle,1.0,No,Metropolitian,19,25594.471689206257
7966,21.0,4.6,Fog,Low,2,Meal,motorcycle,,No,Metropolitian,23,25594.471689206257
7967,,,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Urban,21,25594.471689206257
7968,32.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,41,25594.471689206257
7969,28.0,4.8,Windy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,25594.471689206257
7970,25.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,44,25594.471689206257
7971,38.0,4.0,Cloudy,Jam,2,Meal,scooter,1.0,No,Metropolitian,44,25594.471689206257
7972,37.0,4.6,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,25593.980036298475
7973,38.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,36,25593.980036298475
7974,30.0,4.9,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,25593.980036298475
7975,37.0,4.8,Stormy,Medium,1,Meal,scooter,1.0,No,Urban,33,25593.980036298475
7976,33.0,4.7,Sunny,Medium,0,Meal,motorcycle,1.0,No,Urban,26,25593.980036298475
7977,28.0,5.0,Cloudy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,39,25593.980036298475
7978,21.0,4.7,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Urban,45,25593.980036298475
7979,37.0,4.6,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,30,25593.980036298475
7980,22.0,4.6,Stormy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,24,25593.980036298475
7981,,,Stormy,Low,1,Buffet,scooter,1.0,No,Metropolitian,18,25593.980036298475
7982,25.0,4.9,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Urban,16,25593.980036298475
7983,35.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,28,25593.980036298475
7984,38.0,4.6,Sandstorms,Medium,1,Buffet,scooter,1.0,No,Metropolitian,29,25593.980036298475
7985,34.0,4.0,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,25593.25055349966
7986,39.0,4.7,Cloudy,High,0,Meal,motorcycle,0.0,No,Metropolitian,28,25593.25055349966
7987,20.0,4.9,Fog,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,36,25593.25055349966
7988,20.0,4.7,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,34,25593.25055349966
7989,35.0,3.5,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,33,25593.25055349966
7990,26.0,4.7,Sunny,Medium,1,Meal,scooter,1.0,No,Metropolitian,11,25593.25055349966
7991,26.0,4.8,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,16,25593.25055349966
7992,27.0,4.7,Cloudy,Low,0,Snack,motorcycle,1.0,No,Urban,23,25593.25055349966
7993,28.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,38,25593.25055349966
7994,25.0,4.7,Stormy,Medium,1,Meal,scooter,1.0,No,Metropolitian,18,25593.25055349966
7995,22.0,4.7,Sunny,Jam,1,Snack,scooter,1.0,No,Urban,12,25591.52758983013
7996,22.0,4.6,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,25591.52758983013
7997,38.0,4.9,Stormy,High,2,Drinks,scooter,1.0,No,Metropolitian,26,25591.52758983013
7998,30.0,4.0,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,40,25591.52758983013
7999,32.0,4.3,Stormy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,35,25591.52758983013
8000,35.0,4.9,Cloudy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,25,25591.52758983013
8001,35.0,4.6,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,45,25591.52758983013
8002,34.0,4.3,Windy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,31,25591.52758983013
8003,31.0,4.6,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,18,25591.52758983013
8004,34.0,4.6,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,21,25591.52758983013
8005,24.0,4.1,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26,25591.52758983013
8006,30.0,4.9,Windy,High,1,Drinks,scooter,1.0,No,Metropolitian,26,25591.336151907064
8007,22.0,4.2,Fog,Medium,1,Meal,scooter,1.0,No,Metropolitian,39,25591.336151907064
8008,27.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,25591.336151907064
8009,27.0,4.6,Windy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,19,25591.336151907064
8010,33.0,4.7,Sunny,Low,1,Buffet,scooter,0.0,No,Urban,12,25591.336151907064
8011,34.0,3.5,Stormy,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,39,25591.336151907064
8012,34.0,5.0,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,40,25591.336151907064
8013,26.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Urban,23,25591.336151907064
8014,30.0,4.7,Stormy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,33,25591.336151907064
8015,25.0,4.8,Sandstorms,Low,1,Meal,motorcycle,1.0,No,Metropolitian,12,25591.336151907064
8016,24.0,4.6,Cloudy,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,13,25591.336151907064
8017,,,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,48,25591.336151907064
8018,34.0,5.0,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,22,25588.876217355933
8019,24.0,4.7,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,20,25588.876217355933
8020,26.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,38,25588.876217355933
8021,22.0,4.9,Fog,Jam,2,Meal,scooter,0.0,No,Urban,20,25588.876217355933
8022,35.0,4.8,Stormy,Jam,0,Meal,motorcycle,1.0,Yes,Metropolitian,47,25588.876217355933
8023,22.0,5.0,Sandstorms,High,2,Buffet,scooter,1.0,No,Metropolitian,16,25588.876217355933
8024,20.0,4.4,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,36,25588.876217355933
8025,35.0,4.9,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,25588.876217355933
8026,34.0,4.9,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,26,25587.028470323887
8027,34.0,4.9,Sunny,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,23,25587.028470323887
8028,22.0,5.0,Stormy,Jam,0,Meal,motorcycle,1.0,No,Urban,24,25587.028470323887
8029,37.0,4.9,Fog,Low,1,Snack,scooter,1.0,No,Urban,16,25587.028470323887
8030,38.0,4.6,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,25587.028470323887
8031,30.0,4.9,Sunny,Medium,0,Drinks,motorcycle,1.0,No,Urban,22,25587.028470323887
8032,22.0,4.6,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Urban,23,25587.028470323887
8033,22.0,3.1,Sunny,Low,1,Buffet,scooter,2.0,No,Metropolitian,41,25587.028470323887
8034,36.0,4.3,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,38,25587.028470323887
8035,29.0,4.6,Cloudy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,25587.028470323887
8036,,,Fog,Medium,0,Buffet,motorcycle,2.0,No,Metropolitian,38,25587.028470323887
8037,24.0,4.8,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,38,25585.80336111939
8038,27.0,4.7,Stormy,Medium,2,Snack,motorcycle,1.0,No,Urban,22,25585.80336111939
8039,34.0,4.7,Fog,High,1,Drinks,scooter,1.0,No,Metropolitian,25,25585.80336111939
8040,34.0,4.8,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,25585.80336111939
8041,34.0,5.0,Fog,Low,2,Buffet,scooter,1.0,No,Metropolitian,19,25585.80336111939
8042,20.0,4.7,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,29,25585.80336111939
8043,24.0,4.7,Windy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,27,25585.80336111939
8044,27.0,4.7,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,29,25585.80336111939
8045,27.0,4.1,Stormy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,16,25585.80336111939
8046,36.0,4.9,Fog,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,48,25582.69397476173
8047,37.0,4.3,Sandstorms,High,0,Buffet,motorcycle,2.0,No,Metropolitian,46,25582.69397476173
8048,38.0,4.4,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,34,25582.69397476173
8049,26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,23,25582.69397476173
8050,31.0,4.7,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,22,25582.69397476173
8051,29.0,4.9,Fog,Low,1,Snack,scooter,0.0,No,Metropolitian,14,25582.69397476173
8052,32.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Urban,52,25582.69397476173
8053,23.0,4.7,Sunny,High,2,Buffet,motorcycle,0.0,No,Urban,15,25582.69397476173
8054,39.0,4.7,Sandstorms,Low,1,Buffet,scooter,0.0,No,Metropolitian,21,25582.69397476173
8055,37.0,4.5,Sandstorms,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,17,25582.69397476173
8056,,,Windy,High,1,Snack,scooter,0.0,No,Metropolitian,10,25582.69397476173
8057,32.0,5.0,Cloudy,Low,2,Buffet,motorcycle,1.0,No,Urban,16,25582.69397476173
8058,39.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,23,25582.69397476173
8059,36.0,4.6,Sunny,High,0,Drinks,motorcycle,1.0,No,Urban,23,25582.69397476173
8060,30.0,4.9,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,16,25582.52368362248
8061,27.0,4.8,Windy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,21,25582.52368362248
8062,22.0,4.6,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,15,25582.52368362248
8063,33.0,4.5,Windy,High,2,Drinks,scooter,1.0,No,Metropolitian,29,25582.52368362248
8064,27.0,4.7,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,33,25582.52368362248
8065,,,Cloudy,Medium,0,Snack,motorcycle,2.0,No,Metropolitian,40,25582.52368362248
8066,22.0,4.7,Windy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,15,25582.52368362248
8067,30.0,3.7,Fog,Low,1,Snack,scooter,0.0,No,Metropolitian,35,25582.52368362248
8068,35.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,26,25582.52368362248
8069,31.0,4.8,Sandstorms,Medium,2,Buffet,motorcycle,1.0,No,Metropolitian,30,25582.514794254104
8070,27.0,4.9,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,13,25582.514794254104
8071,21.0,4.6,Cloudy,Low,1,Snack,scooter,0.0,No,Urban,13,25582.514794254104
8072,32.0,4.8,Sunny,High,0,Meal,motorcycle,1.0,No,Metropolitian,29,25582.514794254104
8073,28.0,4.8,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,13,25582.514794254104
8074,36.0,4.9,Sunny,Low,1,Snack,motorcycle,,No,Metropolitian,10,25582.514794254104
8075,32.0,4.8,Sunny,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,38,25582.514794254104
8076,23.0,4.6,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,28,25582.514794254104
8077,20.0,4.7,Stormy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,27,25582.514794254104
8078,23.0,4.7,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,23,25582.514794254104
8079,27.0,4.8,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,33,25581.110226822726
8080,24.0,4.7,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,14,25581.110226822726
8081,23.0,5.0,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,26,25581.110226822726
8082,39.0,3.9,Sandstorms,Jam,1,Meal,motorcycle,,No,Metropolitian,42,25581.110226822726
8083,30.0,4.7,Stormy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,29,25581.110226822726
8084,31.0,4.8,Cloudy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,17,25581.110226822726
8085,28.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,14,25581.110226822726
8086,29.0,4.9,Sandstorms,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,24,25581.110226822726
8087,37.0,4.6,Cloudy,Jam,0,Meal,motorcycle,0.0,No,Semi-Urban,53,25581.110226822726
8088,30.0,4.6,Stormy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,26,25580.330896082203
8089,33.0,4.7,Stormy,Low,2,Buffet,electric_scooter,1.0,No,Urban,24,25580.330896082203
8090,27.0,4.9,Stormy,Medium,1,Drinks,motorcycle,1.0,No,Urban,18,25580.330896082203
8091,32.0,3.6,Fog,Low,2,Snack,motorcycle,1.0,No,Metropolitian,32,25580.330896082203
8092,27.0,4.8,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,22,25580.330896082203
8093,24.0,4.6,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,25580.330896082203
8094,33.0,4.9,Sunny,Jam,1,Buffet,scooter,1.0,No,Metropolitian,17,25580.330896082203
8095,20.0,4.6,Cloudy,Jam,2,Meal,scooter,0.0,No,Metropolitian,34,25580.330896082203
8096,20.0,4.8,Windy,High,0,Meal,motorcycle,1.0,No,Metropolitian,32,25578.03339681397
8097,28.0,4.7,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Urban,12,25578.03339681397
8098,,,,,3,Meal,motorcycle,1.0,No,Metropolitian,38,25578.03339681397
8099,20.0,5.0,Cloudy,Medium,0,Buffet,motorcycle,,No,Metropolitian,22,25578.03339681397
8100,26.0,4.5,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,25578.03339681397
8101,22.0,4.9,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,34,25578.03339681397
8102,29.0,5.0,Windy,Jam,2,Drinks,motorcycle,0.0,No,Urban,28,25578.03339681397
8103,37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,11,25578.03339681397
8104,36.0,4.1,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,35,25578.03339681397
8105,38.0,4.2,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,31,25578.03339681397
8106,20.0,4.7,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,22,25578.03339681397
8107,26.0,4.8,Windy,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,21,25578.03339681397
8108,26.0,4.8,Fog,Low,1,Meal,motorcycle,1.0,No,Metropolitian,16,25578.03339681397
8109,23.0,4.6,Cloudy,Medium,2,Snack,scooter,1.0,No,Urban,16,25577.9406990443
8110,29.0,4.7,Fog,High,1,Snack,scooter,1.0,No,Urban,25,25577.9406990443
8111,36.0,4.9,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,44,25577.9406990443
8112,24.0,4.9,Sandstorms,Low,2,Buffet,scooter,1.0,No,Urban,15,25577.9406990443
8113,21.0,4.1,Windy,Jam,0,Snack,motorcycle,1.0,No,Urban,33,25577.9406990443
8114,27.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,29,25577.9406990443
8115,39.0,4.8,Fog,Low,1,Meal,motorcycle,0.0,No,Metropolitian,15,25577.9406990443
8116,24.0,4.6,Fog,High,1,Snack,scooter,1.0,No,Metropolitian,20,25577.9406990443
8117,31.0,4.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,34,25577.9406990443
8118,30.0,4.6,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,25577.9406990443
8119,28.0,4.9,Windy,Jam,1,Snack,scooter,1.0,No,Metropolitian,26,25577.793073739907
8120,28.0,4.9,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,17,25577.793073739907
8121,28.0,4.7,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,16,25577.793073739907
8122,36.0,4.6,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,18,25577.793073739907
8123,37.0,4.9,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,25577.793073739907
8124,24.0,4.9,Stormy,Low,1,Buffet,scooter,0.0,No,Metropolitian,14,25577.793073739907
8125,34.0,4.8,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,25,25577.793073739907
8126,33.0,5.0,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,32,25577.793073739907
8127,36.0,4.9,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,25576.791588418804
8128,35.0,4.9,Stormy,Low,2,Drinks,scooter,1.0,No,Urban,20,25576.791588418804
8129,20.0,4.7,Sunny,Medium,2,Drinks,motorcycle,,No,Metropolitian,13,25576.791588418804
8130,24.0,4.6,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,24,25576.791588418804
8131,,,,,2,Meal,scooter,1.0,No,Urban,11,25576.791588418804
8132,30.0,4.6,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,25576.791588418804
8133,29.0,3.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,25576.791588418804
8134,20.0,4.4,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,32,25576.791588418804
8135,29.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,26,25576.791588418804
8136,35.0,4.8,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Urban,22,25576.791588418804
8137,33.0,4.6,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,25576.18944128738
8138,23.0,4.5,Fog,Medium,0,Drinks,motorcycle,1.0,No,Urban,22,25576.18944128738
8139,34.0,4.8,Stormy,Medium,2,Snack,electric_scooter,0.0,No,Urban,20,25576.18944128738
8140,35.0,4.7,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,18,25576.18944128738
8141,28.0,4.9,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,23,25576.18944128738
8142,,,,,3,Drinks,electric_scooter,0.0,No,Metropolitian,26,25576.18944128738
8143,28.0,4.6,Stormy,Medium,2,Meal,motorcycle,0.0,No,Urban,27,25576.18944128738
8144,22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Urban,16,25576.18944128738
8145,29.0,4.7,Fog,Low,1,Meal,scooter,,No,Metropolitian,23,25575.590098471723
8146,26.0,4.7,Fog,Low,2,Meal,scooter,,No,Urban,11,25575.590098471723
8147,30.0,4.9,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,24,25575.590098471723
8148,30.0,4.3,Stormy,Medium,2,Meal,scooter,0.0,No,Metropolitian,34,25575.590098471723
8149,33.0,4.8,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,27,25575.590098471723
8150,37.0,4.7,Sunny,Medium,1,Drinks,motorcycle,1.0,No,Urban,15,25575.590098471723
8151,35.0,4.7,Fog,Medium,2,Snack,electric_scooter,1.0,No,Urban,40,25575.590098471723
8152,32.0,4.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,32,25575.590098471723
8153,26.0,4.7,Fog,Low,2,Buffet,scooter,0.0,No,Urban,20,25575.590098471723
8154,36.0,4.8,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,28,25575.590098471723
8155,35.0,4.8,Cloudy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,25573.792169355187
8156,25.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,22,25573.792169355187
8157,32.0,4.6,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Urban,27,25573.792169355187
8158,37.0,4.9,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,18,25573.792169355187
8159,22.0,4.8,Sandstorms,Medium,0,Meal,motorcycle,2.0,No,Urban,38,25573.792169355187
8160,30.0,4.8,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,27,25573.792169355187
8161,26.0,4.9,Fog,Jam,2,Drinks,scooter,0.0,No,Metropolitian,25,25573.792169355187
8162,29.0,4.9,Sandstorms,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,25573.792169355187
8163,26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,25573.792169355187
8164,,,Stormy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,26,25573.792169355187
